"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Holiday Inn Express Hyderabad HITEC City,3.5,Very Good,1894,3,Hitech City,,,"4,499",
Slackpackr Hostel,4.1,Very Good,87,,Begumpet,,,849,237
Holiday Inn Express Hyderabad Banjara Hills,3.5,Very Good,2359,3,Punjagutta,,,"4,140",540
CITADEL Hotel By Vinnca,4.1,Very Good,949,3,Gaghan Pahad,,,"2,932",802
Aditya Hometel Hyderabad - A Sarovar Hotel,3.5,Very Good,2234,3,Ameerpet,,,"1,860",380
Hotel Deccan Serai Grande,4.4,Excellent,517,4,Gachibowli,,,"7,014","2,297"
Katriya Hotel and Towers,2.8,Average,3250,3,Somajiguda,,,"3,761",451
Hotel Saptagiri Hyderabad,3.8,Very Good,2861,3,Shivaji Nagar ,Secunderabad Junction Railway Station ,760 m ,"2,724",614
Hampshire Plaza Hotel,3.8,Very Good,1680,3,Lakdikapul,,,"3,379",891
"Taj Deccan, Hyderabad",4.4,Excellent,2694,5,Banjara Hills,,,"6,990",
Avasa Hotel,4.2,Very Good,2073,5,Madhapur,,,"6,696","1,368"
Hotel Akoya - HITECH City Hyderabad,4.1,Very Good,520,3,Hitech City,,,"2,471",681
MARIGOLD AT NEST,3.8,Very Good,93,2,Gachibowli,,,"1,346",307
HOTEL RAINTR33,3.8,Very Good,1012,3,Hitech City,,,"2,011",550
Urban Nest Luxury Rooms,3.9,Very Good,206,,Kokapet,,,"1,046",357
Novotel Hyderabad Convention Centre,4.2,Very Good,2033,5,Hitech City,,,"10,500",
Hotel B Plus L,4,Very Good,866,4,Hitech City,,,"3,360",795
La Hometel Hotel - HITECH City Hyderabad,3.9,Very Good,236,3,Hitech City,,,"1,435",387
Le Meridien Hyderabad,4.3,Excellent,1059,5,Gachibowli,,,"10,500",
"Restel Studio Flats
Like a 3",4.2,Very Good,262,,Borabanda,,,"1,801",504
The Conclave,3.2,Good,958,3,Gachibowli,,,"1,613",497
The Landmark Banjara Hills,4,Very Good,613,3,Banjara Hills,,,"1,696",437
THE CENT,3.3,Good,1544,3,Lakdikapul,,,"1,662",389
Courtyard by Marriott Hyderabad,4.5,Excellent,981,4,Kavadiguda,,,"6,000",
"The Wilderness Retreat | Rooms & Restaurant
Like a 4",3.9,Very Good,220,,Gandipet,,,"7,346","2,197"
The Altruist Business Hotel (Hitech),3.7,Very Good,1888,4,Shilpa Hills,,,"4,278","1,028"
Istay Hotels Hitec,3.7,Very Good,1236,3,Kondapur,,,"2,913",613
Hyatt Hyderabad Gachibowli,4.1,Very Good,864,5,Gachibowli,,,"8,750",
The Art Boutique Hotel,3.8,Very Good,1515,3,Gachibowli,,,"2,197",677
Hotel Imperial Classic,3.9,Very Good,2183,3,Himayat Nagar,,,"1,068",315
Mercure Hyderabad KCP - An AccorHotels brand,4.2,Very Good,773,4,Punjagutta,,,"5,000",
Veeraj Suites,4,Very Good,435,3,Rai Durg,,,"2,170",599
Bloom Hotel - Gachibowli,4.1,Very Good,181,3,Gachibowli,,,"4,500",
Oakwood Residence Kapil Hyderabad,4.5,Excellent,957,,Gachibowli,,,"7,500",
Aalankrita Resort & Convention,4.1,Very Good,3109,4,Secunderabad ,city centre,26.5 km ,"4,484",916
Minerva Grand- Kondapur,3.9,Very Good,1019,3,Kothaguda,,,"4,371",893
M SQUARE HOTEL,3.9,Very Good,263,3,Hitech City,,,"4,395",898
Sri Sri Suites,3.4,Good,152,,Madhapur,,,"1,208",330
The Manohar,2.7,Average,258,3,Begumpet,,,"3,158",645
The Lime Boutique Suites,4.1,Very Good,1434,3,Gachibowli,,,"2,976",608
Taj Tristar,3.9,Very Good,992,3,Secunderabad ,city centre,7.7 km ,"2,271",494
Minerva Grand - Banjara,4,Very Good,1453,3,Banjara Hills,,,"4,464",912
Sheraton Hyderabad,4.3,Excellent,769,5,Gachibowli,,,"1,25,000",
ITC Kakatiya - A Luxury Collection Hotel,4.2,Very Good,1071,5,Begumpet,,,"9,690",
Bikanervala Boutique Hotel,4.1,Very Good,1037,3,Banjara Hills,,,"3,488",713
