FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,Price
SpiceJet,SG 158,Mumbai,09:05,New Delhi,11:20,02 h 15 m,"4,745"
IndiGo,6E 5008,Mumbai,09:30,New Delhi,11:40,02 h 10 m,"4,745"
IndiGo,6E 5008,Mumbai,09:30,New Delhi,11:40,02 h 10 m,"4,745"
Air India,AI 809,Mumbai,10:00,New Delhi,12:20,02 h 20 m,"4,745"
Air India,AI 623,Mumbai,10:25,New Delhi,12:40,02 h 15 m,"4,745"
Air India,AI 623,Mumbai,10:25,New Delhi,12:40,02 h 15 m,"4,745"
IndiGo,6E 6821,Mumbai,10:30,New Delhi,12:50,02 h 20 m,"4,745"
IndiGo,6E 5113,Mumbai,11:45,New Delhi,14:05,02 h 20 m,"4,745"
IndiGo,6E 5113,Mumbai,11:45,New Delhi,14:05,02 h 20 m,"4,745"
IndiGo,6E 2015,Mumbai,12:45,New Delhi,14:55,02 h 10 m,"4,745"
Akasa Air,QP 1127,Mumbai,13:05,New Delhi,15:10,02 h 05 m,"4,745"
IndiGo,6E 993,Mumbai,14:30,New Delhi,16:35,02 h 05 m,"4,745"
Air India,AI 442,Mumbai,15:35,New Delhi,18:10,02 h 35 m,"4,745"
IndiGo,6E 2326,Mumbai,15:45,New Delhi,17:55,02 h 10 m,"4,745"
IndiGo,6E 2326,Mumbai,15:45,New Delhi,17:55,02 h 10 m,"4,745"
Air India,AI 687,Mumbai,16:00,New Delhi,18:20,02 h 20 m,"4,745"
IndiGo,6E 2103,Mumbai,17:15,New Delhi,19:25,02 h 10 m,"4,745"
SpiceJet,SG 710,Mumbai,22:30,New Delhi,"01:00
+ 1 DAY",02 h 30 m,"4,745"
IndiGo,6E 2083,Mumbai,22:50,New Delhi,"01:00
+ 1 DAY",02 h 10 m,"4,745"
IndiGo,6E 2126,Mumbai,23:55,New Delhi,"02:00
+ 1 DAY",02 h 05 m,"4,745"
IndiGo,6E 2126,Mumbai,23:55,New Delhi,"02:00
+ 1 DAY",02 h 05 m,"4,745"
IndiGo,6E 6082,Mumbai,18:00,New Delhi,20:00,02 h,"5,184"
Air India,AI 660,Mumbai,18:15,New Delhi,20:15,02 h,"5,281"
Air India,AI 806,Mumbai,08:00,New Delhi,10:15,02 h 15 m,"5,919"
IndiGo,6E 2113,Mumbai,19:00,New Delhi,21:10,02 h 10 m,"6,654"
IndiGo,6E 2518,Mumbai,20:10,New Delhi,22:25,02 h 15 m,"6,654"
IndiGo,6E 2518,Mumbai,20:10,New Delhi,22:25,02 h 15 m,"6,654"
IndiGo,6E 2051,Mumbai,21:35,New Delhi,23:30,01 h 55 m,"6,654"
SpiceJet,SG 8191,Mumbai,21:20,New Delhi,23:45,02 h 25 m,"7,422"
Vistara,UK 928,Mumbai,06:30,New Delhi,08:35,02 h 05 m,"10,539"
Vistara,UK 952,Mumbai,12:50,New Delhi,14:45,01 h 55 m,"10,539"
Vistara,UK 944,Mumbai,14:40,New Delhi,16:55,02 h 15 m,"10,539"
Vistara,UK 944,Mumbai,14:40,New Delhi,16:55,02 h 15 m,"10,539"
Vistara,UK 902,Mumbai,15:45,New Delhi,18:10,02 h 25 m,"10,539"
Vistara,UK 910,Mumbai,17:25,New Delhi,19:35,02 h 10 m,"10,539"
Vistara,UK 996,Mumbai,18:30,New Delhi,20:40,02 h 10 m,"10,539"
Vistara,UK 950,Mumbai,21:55,New Delhi,"00:10
+ 1 DAY",02 h 15 m,"10,539"
Vistara,UK 986,Mumbai,22:50,New Delhi,"01:00
+ 1 DAY",02 h 10 m,"10,539"
